family,size,obs_overlap,null_mean,excess,p,q
Dopamine receptors,5,31.5,3.7082900000000003,27.79171,0.0058994100589941,0.022279022097790223
SH2 domain containing,26,31.532307692307693,3.7677486153846154,27.764559076923078,9.999000099990002e-05,0.00052267500522675
Potassium two pore domain channel subfamily K,5,31.3,3.7082900000000003,27.59171,0.006099390060993901,0.022279022097790223
FERM domain containing,5,31.0,3.7082900000000003,27.29171,0.006199380061993801,0.022279022097790223
Potassium voltage-gated channels,40,27.075641025641026,3.770215769230769,23.305425256410256,9.999000099990002e-05,0.00052267500522675
BTB domain containing,25,25.09,3.8187713333333333,21.271228666666666,9.999000099990002e-05,0.00052267500522675
Solute carrier family 6,5,24.1,3.7082900000000003,20.39171,0.012998700129987,0.04152362541523625
Interferon receptors,5,23.6,3.7082900000000003,19.89171,0.014198580141985802,0.04413072206292885
Sphingosine 1-phosphate receptors,5,23.2,3.7082900000000003,19.491709999999998,0.015498450154984501,0.04690320441640047
Cholinergic receptors muscarinic,5,20.9,3.7082900000000003,17.191709999999997,0.020897910208979104,0.060081491850814926
M10 matrix metallopeptidases,9,19.083333333333332,3.699986111111111,15.383347222222222,0.006199380061993801,0.022279022097790223
"5-hydroxytryptamine receptors, ionotropic",5,19.0,3.7082900000000003,15.29171,0.028597140285971403,0.07474252574742525
Calcium voltage-gated channel alpha1 subunits,10,18.555555555555557,3.701064444444444,14.854491111111113,0.0052994700529947,0.021765680574799662
S ribosomal proteins,33,18.0,3.758798295454546,14.241201704545453,9.999000099990002e-05,0.00052267500522675
L ribosomal proteins,45,18.0,3.7735415151515155,14.226458484848484,9.999000099990002e-05,0.00052267500522675
BCL2 family,6,17.8,3.8048800000000003,13.99512,0.025897410258974102,0.07263907755565907
