diseaseId,disease,n_genes,n_known
MONDO_0017346,Epstein-Barr virus-positive diffuse large B-cell lymphoma of the elderly,15,0
EFO_0010832,primary central chondrosarcoma,15,0
MONDO_0003503,fallopian tube squamous cell carcinoma,15,0
EFO_0009443,BRCAX breast cancer,15,0
EFO_0001663,prostate carcinoma,15,0
EFO_1001830,precursor T-cell lymphoblastic leukemia-lymphoma,15,0
EFO_1000294,HER2 Positive Breast Carcinoma,14,0
MONDO_0003383,fallopian tube clear cell adenocarcinoma,14,0
EFO_1000044,pancreatic adenocarcinoma,14,0
MONDO_0003659,pediatric lymphoma,14,0
MONDO_0005411,gallbladder cancer,14,0
EFO_1000412,Ovarian Carcinosarcoma,14,0
EFO_1000649,estrogen-receptor positive breast cancer,14,0
EFO_0000403,diffuse large B-cell lymphoma,14,0
EFO_0000756,melanoma,13,0
EFO_0000574,lymphoma,13,0
EFO_1001946,childhood B acute lymphoblastic leukemia,13,0
EFO_1001947,childhood T acute lymphoblastic leukemia,13,0
MONDO_0021115,luminal B breast carcinoma,13,0
EFO_1000253,Fallopian Tube Serous Adenocarcinoma,13,0
MONDO_0044903,myelofibrosis,13,0
EFO_0004606,gallbladder neoplasm,13,0
MONDO_0003856,adult malignant hemangiopericytoma,13,0
EFO_0000308,bronchoalveolar adenocarcinoma,12,0
EFO_1000238,Endometrial Serous Adenocarcinoma,12,0
MONDO_0044887,central nervous system non-hodgkin lymphoma,12,0
MONDO_0036501,refractory malignant neoplasm,12,0
EFO_1001973,ureter urothelial carcinoma,12,0
EFO_1001959,hilar cholangiocarcinoma,12,0
MONDO_0021063,malignant colon neoplasm,12,0
EFO_0001642,lymphoid neoplasm,11,0
MONDO_0004658,breast carcinoma in situ,11,0
EFO_0000673,prostate adenocarcinoma,11,0
MONDO_0003572,nasopharyngeal type undifferentiated carcinoma,11,0
EFO_0006732,pancreatic adenosquamous carcinoma,11,0
MONDO_0003268,mixed glioma,11,0
EFO_1000357,Malignant Ovarian Brenner Tumor,11,0
EFO_1001953,"endometrial endometrioid adenocarcinoma, variant with squamous differentiation",10,0
MONDO_0003059,bile duct cancer,10,0
MONDO_0021538,verrucous carcinoma of oral cavity,10,0
MONDO_0021535,pancreatic neuroendocrine tumor G1,10,0
MONDO_0021321,malignant tumor of extrahepatic bile duct,10,0
MONDO_0003692,adult malignant mesenchymoma,10,0
EFO_0003026,minimally differentiated acute myeloblastic leukemia,10,0
EFO_0004252,nasopharyngeal neoplasm,10,0
EFO_0000503,gastric adenocarcinoma,10,0
MONDO_0019460,acute leukemia of ambiguous lineage,10,0
MONDO_0002744,fallopian tube mucinous adenocarcinoma,9,0
EFO_0003863,urogenital neoplasm,9,0
EFO_0003050,large cell lung carcinoma,9,0
MONDO_0020743,mixed phenotype acute leukemia,9,0
EFO_0001378,multiple myeloma,9,0
MONDO_0003033,prostate angiosarcoma,9,0
MONDO_0004064,iris melanoma,9,0
EFO_0003876,intermittent vascular claudication,9,0
EFO_0000211,unspecified peripheral T-cell lymphoma,8,0
EFO_1000407,Olfactory Neuroblastoma,8,0
EFO_0005540,bile duct carcinoma,8,0
EFO_0000222,acute myeloid leukemia,8,0
EFO_0000223,acute myelomonocytic leukemia,8,0
EFO_1000657,rectum cancer,8,0
MONDO_0003089,extrahepatic bile duct mucoepidermoid carcinoma,8,0
MONDO_0003212,nasal cavity carcinoma,7,0
EFO_0003866,paranasal sinus neoplasm,7,0
MONDO_0003060,biliary tract cancer,6,0
EFO_0001075,ovarian carcinoma,6,0
MONDO_0002974,cervical cancer,6,0
EFO_1001936,adult T acute lymphoblastic leukemia,6,0
MONDO_0004374,adult extraskeletal osteosarcoma,6,0
MONDO_0001023,prolymphocytic leukemia,6,0
MONDO_0044889,high grade B-cell lymphoma,6,0
MONDO_0003890,infiltrating bladder urothelial carcinoma,6,0
MONDO_0020541,maligant granulosa cell tumor of ovary,6,0
