gene_acronym,gene_name,gene_entrez_id,age_in_days,age,donor_sex,structure_name,expression_energy
Ednrb,endothelin receptor type B,13618,56.0,P56,M,pontine hindbrain,0.269618
Calb2,calbindin 2,12308,56.0,P56,M,pontine hindbrain,9.71914
Gal,galanin,14419,56.0,P56,F,pontine hindbrain,0.199349
Gabre,"gamma-aminobutyric acid (GABA) A receptor, subunit epsilon",14404,56.0,P56,F,pontine hindbrain,0.224937
Gal,galanin,14419,56.0,P56,F,pontine hindbrain,0.246458
Cdh3,cadherin 3,12560,56.0,P56,M,pontine hindbrain,0.0953489
Calb2,calbindin 2,12308,56.0,P56,M,pontine hindbrain,8.54134
Gal,galanin,14419,56.0,P56,M,pontine hindbrain,0.355492
Gal,galanin,14419,56.0,P56,M,pontine hindbrain,0.253668
Cck,cholecystokinin,12424,56.0,P56,M,pontine hindbrain,0.231496
Gabrb1,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 1",14400,56.0,P56,F,pontine hindbrain,0.541871
Cacna1b,"calcium channel, voltage-dependent, N type, alpha 1B subunit",12287,56.0,P56,M,pontine hindbrain,0.214811
Chrnb2,"cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)",11444,56.0,P56,M,pontine hindbrain,0.86022
Gabre,"gamma-aminobutyric acid (GABA) A receptor, subunit epsilon",14404,56.0,P56,M,pontine hindbrain,0.273358
Calb2,calbindin 2,12308,56.0,P56,M,pontine hindbrain,9.63531
Gal,galanin,14419,56.0,P56,F,pontine hindbrain,0.291662
Cacna1g,"calcium channel, voltage-dependent, T type, alpha 1G subunit",12291,56.0,P56,F,pontine hindbrain,1.99872
Gal,galanin,14419,56.0,P56,M,pontine hindbrain,0.355492
Arc,activity regulated cytoskeletal-associated protein,11838,56.0,P56,M,pontine hindbrain,2.46947
Calb2,calbindin 2,12308,56.0,P56,M,pontine hindbrain,8.10503
Drd2,dopamine receptor D2,13489,56.0,P56,M,pontine hindbrain,0.224153
Gabrb1,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 1",14400,56.0,P56,F,pontine hindbrain,0.64896
Cd44,CD44 antigen,12505,56.0,P56,M,pontine hindbrain,0.117093
Dvl2,"dishevelled 2, dsh homolog (Drosophila)",13543,56.0,P56,M,pontine hindbrain,0.348595
Egr2,early growth response 2,13654,56.0,P56,M,pontine hindbrain,1.07681
Gal,galanin,14419,56.0,P56,F,pontine hindbrain,0.116494
Gas1,growth arrest specific 1,14451,56.0,P56,M,pontine hindbrain,0.897558
Bdnf,brain derived neurotrophic factor,12064,56.0,P56,M,pontine hindbrain,0.475847
Bmp4,bone morphogenetic protein 4,12159,56.0,P56,M,pontine hindbrain,0.461913
Cck,cholecystokinin,12424,56.0,P56,M,pontine hindbrain,0.252675
Adra2a,"adrenergic receptor, alpha 2a",11551,56.0,P56,F,pontine hindbrain,0.277369
Cited1,Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1,12705,56.0,P56,M,pontine hindbrain,1.75344
Gal,galanin,14419,56.0,P56,F,pontine hindbrain,0.291662
Egr1,early growth response 1,13653,56.0,P56,M,pontine hindbrain,1.24069
Clcn5,chloride channel 5,12728,56.0,P56,M,pontine hindbrain,1.10948
Gfap,glial fibrillary acidic protein,14580,56.0,P56,M,pontine hindbrain,3.08111
Ctf1,cardiotrophin 1,13019,56.0,P56,M,pontine hindbrain,0.0901824
Cacna1g,"calcium channel, voltage-dependent, T type, alpha 1G subunit",12291,56.0,P56,M,pontine hindbrain,3.01322
Calb1,calbindin 1,12307,56.0,P56,M,pontine hindbrain,2.687
Cit,citron,12704,56.0,P56,M,pontine hindbrain,3.31247
Gabrb1,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 1",14400,56.0,P56,M,pontine hindbrain,0.155857
Adra2a,"adrenergic receptor, alpha 2a",11551,56.0,P56,M,pontine hindbrain,0.094084
Fgf15,fibroblast growth factor 15,14170,56.0,P56,M,pontine hindbrain,1.1527
Cyp19a1,"cytochrome P450, family 19, subfamily a, polypeptide 1",13075,56.0,P56,M,pontine hindbrain,0.0163777
Ednrb,endothelin receptor type B,13618,56.0,P56,M,pontine hindbrain,0.375797
Fgf15,fibroblast growth factor 15,14170,56.0,P56,M,pontine hindbrain,0.273341
Egr2,early growth response 2,13654,56.0,P56,M,pontine hindbrain,1.509
Fgfr1,fibroblast growth factor receptor 1,14182,56.0,P56,M,pontine hindbrain,4.85367
Calb1,calbindin 1,12307,56.0,P56,M,pontine hindbrain,0.684202
Gabrb2,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 2",14401,56.0,P56,M,pontine hindbrain,5.38289
Grik1,"glutamate receptor, ionotropic, kainate 1",14805,56.0,P56,M,pontine hindbrain,3.70866
Calb1,calbindin 1,12307,56.0,P56,M,pontine hindbrain,1.22487
Gls,glutaminase,14660,56.0,P56,M,pontine hindbrain,0.00885608
Cldn5,claudin 5,12741,56.0,P56,M,pontine hindbrain,2.76024
Cacna2d1,"calcium channel, voltage-dependent, alpha2/delta subunit 1",12293,56.0,P56,M,pontine hindbrain,0.619387
Drd4,dopamine receptor D4,13491,56.0,P56,F,pontine hindbrain,0.19435
Clock,circadian locomotor output cycles kaput,12753,56.0,P56,M,pontine hindbrain,0.884993
Drd2,dopamine receptor D2,13489,56.0,P56,M,pontine hindbrain,0.208237
Fgfr1,fibroblast growth factor receptor 1,14182,56.0,P56,M,pontine hindbrain,4.97401
Adra2a,"adrenergic receptor, alpha 2a",11551,56.0,P56,M,pontine hindbrain,0.345352
Gfap,glial fibrillary acidic protein,14580,56.0,P56,M,pontine hindbrain,2.77637
Cdh2,cadherin 2,12558,56.0,P56,M,pontine hindbrain,3.58935
Bche,butyrylcholinesterase,12038,56.0,P56,M,pontine hindbrain,0.039321
Gal,galanin,14419,56.0,P56,F,pontine hindbrain,0.153593
Gfap,glial fibrillary acidic protein,14580,56.0,P56,M,pontine hindbrain,3.13696
Fgf12,fibroblast growth factor 12,14167,56.0,P56,M,pontine hindbrain,2.8605
Calb1,calbindin 1,12307,56.0,P56,M,pontine hindbrain,1.33349
Fgf12,fibroblast growth factor 12,14167,56.0,P56,M,pontine hindbrain,1.71469
Bmp7,bone morphogenetic protein 7,12162,56.0,P56,M,pontine hindbrain,0.183533
Fgfr1,fibroblast growth factor receptor 1,14182,56.0,P56,M,pontine hindbrain,7.95753
Clu,clusterin,12759,56.0,P56,M,pontine hindbrain,15.6139
Egr1,early growth response 1,13653,56.0,P56,M,pontine hindbrain,2.11486
Vsx2,visual system homeobox 2,12677,56.0,P56,M,pontine hindbrain,0.322759
Ednrb,endothelin receptor type B,13618,56.0,P56,M,pontine hindbrain,0.150602
Fgf12,fibroblast growth factor 12,14167,56.0,P56,M,pontine hindbrain,7.77516
Clu,clusterin,12759,56.0,P56,M,pontine hindbrain,6.15331
Adra2b,"adrenergic receptor, alpha 2b",11552,56.0,P56,M,pontine hindbrain,0.0272047
Cacna2d1,"calcium channel, voltage-dependent, alpha2/delta subunit 1",12293,56.0,P56,M,pontine hindbrain,0.799111
Fgf12,fibroblast growth factor 12,14167,56.0,P56,M,pontine hindbrain,6.27922
Gabre,"gamma-aminobutyric acid (GABA) A receptor, subunit epsilon",14404,56.0,P56,F,pontine hindbrain,0.285171
Fgfr2,fibroblast growth factor receptor 2,14183,56.0,P56,M,pontine hindbrain,0.148626
Clu,clusterin,12759,56.0,P56,M,pontine hindbrain,2.90353
Gfap,glial fibrillary acidic protein,14580,56.0,P56,M,pontine hindbrain,2.99853
Cyp7b1,"cytochrome P450, family 7, subfamily b, polypeptide 1",13123,56.0,P56,M,pontine hindbrain,0.0397007
Fgf1,fibroblast growth factor 1,14164,56.0,P56,M,pontine hindbrain,14.1273
Adra2a,"adrenergic receptor, alpha 2a",11551,56.0,P56,M,pontine hindbrain,0.0953483
Gabrb1,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 1",14400,56.0,P56,M,pontine hindbrain,0.131836
Cacna2d1,"calcium channel, voltage-dependent, alpha2/delta subunit 1",12293,56.0,P56,M,pontine hindbrain,1.04839
Cnp,"2',3'-cyclic nucleotide 3' phosphodiesterase",12799,56.0,P56,M,pontine hindbrain,13.9512
Calb1,calbindin 1,12307,56.0,P56,M,pontine hindbrain,1.143
Adrb1,"adrenergic receptor, beta 1",11554,56.0,P56,M,pontine hindbrain,0.212919
Cyp19a1,"cytochrome P450, family 19, subfamily a, polypeptide 1",13075,56.0,P56,F,pontine hindbrain,0.0558398
Chrm4,"cholinergic receptor, muscarinic 4",12672,56.0,P56,M,pontine hindbrain,1.54294
Gal,galanin,14419,56.0,P56,F,pontine hindbrain,0.264192
Cux2,cut-like homeobox 2,13048,56.0,P56,M,pontine hindbrain,5.12298
Ptk2,PTK2 protein tyrosine kinase 2,14083,56.0,P56,M,pontine hindbrain,0.911253
Cnp,"2',3'-cyclic nucleotide 3' phosphodiesterase",12799,56.0,P56,M,pontine hindbrain,18.5305
Calb1,calbindin 1,12307,56.0,P56,M,pontine hindbrain,2.5719
Bcl2l11,BCL2-like 11 (apoptosis facilitator),12125,56.0,P56,M,pontine hindbrain,0.363794
Egr1,early growth response 1,13653,56.0,P56,M,pontine hindbrain,1.81201
Cnp,"2',3'-cyclic nucleotide 3' phosphodiesterase",12799,56.0,P56,M,pontine hindbrain,16.2485
Egr2,early growth response 2,13654,56.0,P56,M,pontine hindbrain,0.703598
Fgfr3,fibroblast growth factor receptor 3,14184,56.0,P56,M,pontine hindbrain,0.0968808
Egr1,early growth response 1,13653,56.0,P56,M,pontine hindbrain,2.2539
Gfap,glial fibrillary acidic protein,14580,56.0,P56,M,pontine hindbrain,2.10304
Gal,galanin,14419,56.0,P56,M,pontine hindbrain,0.762964
Bdnf,brain derived neurotrophic factor,12064,56.0,P56,M,pontine hindbrain,0.884441
Adrb1,"adrenergic receptor, beta 1",11554,56.0,P56,F,pontine hindbrain,0.128196
Adra2a,"adrenergic receptor, alpha 2a",11551,56.0,P56,M,pontine hindbrain,0.394586
Gal,galanin,14419,56.0,P56,F,pontine hindbrain,0.291959
Gfap,glial fibrillary acidic protein,14580,56.0,P56,M,pontine hindbrain,1.82078
Faah,fatty acid amide hydrolase,14073,56.0,P56,M,pontine hindbrain,1.38466
Gnb4,"guanine nucleotide binding protein (G protein), beta 4",14696,56.0,P56,M,pontine hindbrain,0.0667262
Chrm4,"cholinergic receptor, muscarinic 4",12672,56.0,P56,M,pontine hindbrain,1.87839
Gal,galanin,14419,56.0,P56,M,pontine hindbrain,0.253668
Bche,butyrylcholinesterase,12038,56.0,P56,M,pontine hindbrain,0.0474521
Faah,fatty acid amide hydrolase,14073,56.0,P56,M,pontine hindbrain,0.899296
Faah,fatty acid amide hydrolase,14073,56.0,P56,M,pontine hindbrain,0.868622
Cckbr,cholecystokinin B receptor,12426,56.0,P56,F,pontine hindbrain,0.47007
Chrm4,"cholinergic receptor, muscarinic 4",12672,56.0,P56,M,pontine hindbrain,4.15976
Dbp,D site albumin promoter binding protein,13170,56.0,P56,M,pontine hindbrain,2.19403
Cacna1g,"calcium channel, voltage-dependent, T type, alpha 1G subunit",12291,56.0,P56,F,pontine hindbrain,2.46308
Cnr1,cannabinoid receptor 1 (brain),12801,56.0,P56,M,pontine hindbrain,0.88427
Gabrb1,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 1",14400,56.0,P56,M,pontine hindbrain,0.135191
Fgfr4,fibroblast growth factor receptor 4,14186,56.0,P56,M,pontine hindbrain,0.269534
Cyp19a1,"cytochrome P450, family 19, subfamily a, polypeptide 1",13075,56.0,P56,F,pontine hindbrain,0.0334189
Faah,fatty acid amide hydrolase,14073,56.0,P56,M,pontine hindbrain,0.789942
Dab1,disabled 1,13131,56.0,P56,M,pontine hindbrain,2.17413
Gfap,glial fibrillary acidic protein,14580,56.0,P56,M,pontine hindbrain,2.97485
Gfap,glial fibrillary acidic protein,14580,56.0,P56,M,pontine hindbrain,3.0038
Gabre,"gamma-aminobutyric acid (GABA) A receptor, subunit epsilon",14404,56.0,P56,F,pontine hindbrain,0.231073
Calb1,calbindin 1,12307,56.0,P56,M,pontine hindbrain,1.88575
Faah,fatty acid amide hydrolase,14073,56.0,P56,M,pontine hindbrain,0.477246
Cnr1,cannabinoid receptor 1 (brain),12801,56.0,P56,M,pontine hindbrain,0.794721
Cck,cholecystokinin,12424,56.0,P56,M,pontine hindbrain,0.600127
Calb1,calbindin 1,12307,56.0,P56,M,pontine hindbrain,2.54908
Gfap,glial fibrillary acidic protein,14580,56.0,P56,M,pontine hindbrain,3.57353
Ache,acetylcholinesterase,11423,56.0,P56,F,pontine hindbrain,13.5913
Cdh2,cadherin 2,12558,56.0,P56,M,pontine hindbrain,0.194623
Egfr,epidermal growth factor receptor,13649,56.0,P56,M,pontine hindbrain,0.212113
Faah,fatty acid amide hydrolase,14073,56.0,P56,M,pontine hindbrain,1.5596
Gls,glutaminase,14660,56.0,P56,M,pontine hindbrain,1.49613
Cnr1,cannabinoid receptor 1 (brain),12801,56.0,P56,M,pontine hindbrain,1.23027
Faah,fatty acid amide hydrolase,14073,56.0,P56,M,pontine hindbrain,0.823391
Faah,fatty acid amide hydrolase,14073,56.0,P56,F,pontine hindbrain,2.5351
Gabrb3,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 3",14402,56.0,P56,F,pontine hindbrain,1.6839
Ctgf,connective tissue growth factor,14219,56.0,P56,M,pontine hindbrain,0.772795
Gal,galanin,14419,56.0,P56,F,pontine hindbrain,0.201979
Cnr1,cannabinoid receptor 1 (brain),12801,56.0,P56,M,pontine hindbrain,2.01912
Chrnb2,"cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)",11444,56.0,P56,M,pontine hindbrain,0.127685
Chrm4,"cholinergic receptor, muscarinic 4",12672,56.0,P56,M,pontine hindbrain,3.68158e-06
Cacna1g,"calcium channel, voltage-dependent, T type, alpha 1G subunit",12291,56.0,P56,M,pontine hindbrain,2.76986
Gfap,glial fibrillary acidic protein,14580,56.0,P56,M,pontine hindbrain,1.80937
Bdnf,brain derived neurotrophic factor,12064,56.0,P56,M,pontine hindbrain,1.47185
Faah,fatty acid amide hydrolase,14073,56.0,P56,M,pontine hindbrain,2.96751
Calb1,calbindin 1,12307,56.0,P56,M,pontine hindbrain,1.28745
Gabrb3,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 3",14402,56.0,P56,M,pontine hindbrain,0.276546
Ctgf,connective tissue growth factor,14219,56.0,P56,M,pontine hindbrain,0.435139
Cnr1,cannabinoid receptor 1 (brain),12801,56.0,P56,M,pontine hindbrain,1.90629
Faah,fatty acid amide hydrolase,14073,56.0,P56,F,pontine hindbrain,2.60367
Drd4,dopamine receptor D4,13491,56.0,P56,F,pontine hindbrain,0.114003
Faah,fatty acid amide hydrolase,14073,56.0,P56,F,pontine hindbrain,2.48257
Glrb,"glycine receptor, beta subunit",14658,56.0,P56,M,pontine hindbrain,8.6819
Chrm3,"cholinergic receptor, muscarinic 3, cardiac",12671,56.0,P56,M,pontine hindbrain,0.808137
Cnr1,cannabinoid receptor 1 (brain),12801,56.0,P56,M,pontine hindbrain,2.65977
Egfr,epidermal growth factor receptor,13649,56.0,P56,M,pontine hindbrain,0.0871123
Bche,butyrylcholinesterase,12038,56.0,P56,M,pontine hindbrain,0.182363
Gabrb1,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 1",14400,56.0,P56,M,pontine hindbrain,0.135611
Ctgf,connective tissue growth factor,14219,56.0,P56,M,pontine hindbrain,0.414806
Gal,galanin,14419,56.0,P56,M,pontine hindbrain,0.419141
Bdnf,brain derived neurotrophic factor,12064,56.0,P56,M,pontine hindbrain,0.747599
Gal,galanin,14419,56.0,P56,F,pontine hindbrain,0.140218
Adrb1,"adrenergic receptor, beta 1",11554,56.0,P56,M,pontine hindbrain,0.00992232
Gfap,glial fibrillary acidic protein,14580,56.0,P56,M,pontine hindbrain,2.81577
Calb1,calbindin 1,12307,56.0,P56,M,pontine hindbrain,2.77217
Eya4,eyes absent 4 homolog (Drosophila),14051,56.0,P56,M,pontine hindbrain,0.199627
Dbp,D site albumin promoter binding protein,13170,56.0,P56,M,pontine hindbrain,0.775925
Eya4,eyes absent 4 homolog (Drosophila),14051,56.0,P56,M,pontine hindbrain,0.687073
Btrc,beta-transducin repeat containing protein,12234,56.0,P56,M,pontine hindbrain,5.75689
Foxi1,forkhead box I1,14233,56.0,P56,M,pontine hindbrain,0.829131
Egr1,early growth response 1,13653,56.0,P56,M,pontine hindbrain,1.44506
Gfap,glial fibrillary acidic protein,14580,56.0,P56,M,pontine hindbrain,2.56807
Cnr1,cannabinoid receptor 1 (brain),12801,56.0,P56,M,pontine hindbrain,1.85564
Chrm3,"cholinergic receptor, muscarinic 3, cardiac",12671,56.0,P56,M,pontine hindbrain,0.060053
Cacna2d1,"calcium channel, voltage-dependent, alpha2/delta subunit 1",12293,56.0,P56,M,pontine hindbrain,1.26863
Cnr1,cannabinoid receptor 1 (brain),12801,56.0,P56,M,pontine hindbrain,1.2422
Cdh2,cadherin 2,12558,56.0,P56,M,pontine hindbrain,1.12686
Dab1,disabled 1,13131,56.0,P56,M,pontine hindbrain,1.55692
Adrb1,"adrenergic receptor, beta 1",11554,56.0,P56,F,pontine hindbrain,0.0655737
Gal,galanin,14419,56.0,P56,F,pontine hindbrain,0.199349
Foxb2,forkhead box B2,14240,56.0,P56,M,pontine hindbrain,0.831982
Calb2,calbindin 2,12308,56.0,P56,M,pontine hindbrain,8.77467
Dbi,diazepam binding inhibitor,13167,56.0,P56,M,pontine hindbrain,2.65068
Adrb1,"adrenergic receptor, beta 1",11554,56.0,P56,M,pontine hindbrain,0.0196218
Gal,galanin,14419,56.0,P56,F,pontine hindbrain,0.246458
Foxl1,forkhead box L1,14241,56.0,P56,M,pontine hindbrain,0.538011
Cnr1,cannabinoid receptor 1 (brain),12801,56.0,P56,M,pontine hindbrain,2.59163
Gfap,glial fibrillary acidic protein,14580,56.0,P56,M,pontine hindbrain,2.70885
Cacna2d1,"calcium channel, voltage-dependent, alpha2/delta subunit 1",12293,56.0,P56,M,pontine hindbrain,0.549789
Adrb1,"adrenergic receptor, beta 1",11554,56.0,P56,M,pontine hindbrain,0.0297223
Egfr,epidermal growth factor receptor,13649,56.0,P56,M,pontine hindbrain,0.107336
Chrm3,"cholinergic receptor, muscarinic 3, cardiac",12671,56.0,P56,M,pontine hindbrain,0.326452
Calb1,calbindin 1,12307,56.0,P56,M,pontine hindbrain,1.37036
Cnr1,cannabinoid receptor 1 (brain),12801,56.0,P56,M,pontine hindbrain,2.09664
Adrb1,"adrenergic receptor, beta 1",11554,56.0,P56,F,pontine hindbrain,0.0560825
Gabre,"gamma-aminobutyric acid (GABA) A receptor, subunit epsilon",14404,56.0,P56,M,pontine hindbrain,0.221331
Flt1,FMS-like tyrosine kinase 1,14254,56.0,P56,M,pontine hindbrain,0.663609
Dbp,D site albumin promoter binding protein,13170,56.0,P56,M,pontine hindbrain,1.86573
Adrb1,"adrenergic receptor, beta 1",11554,56.0,P56,M,pontine hindbrain,0.0872125
Gabrb1,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 1",14400,56.0,P56,M,pontine hindbrain,0.362774
Cnr1,cannabinoid receptor 1 (brain),12801,56.0,P56,M,pontine hindbrain,2.85788
Adrb1,"adrenergic receptor, beta 1",11554,56.0,P56,M,pontine hindbrain,0.055418
Cnr1,cannabinoid receptor 1 (brain),12801,56.0,P56,M,pontine hindbrain,3.00205
Dab1,disabled 1,13131,56.0,P56,M,pontine hindbrain,0.645679
Adrb1,"adrenergic receptor, beta 1",11554,56.0,P56,M,pontine hindbrain,0.017752
Gfap,glial fibrillary acidic protein,14580,56.0,P56,M,pontine hindbrain,5.99428
Calb2,calbindin 2,12308,56.0,P56,M,pontine hindbrain,8.97195
Fmo1,flavin containing monooxygenase 1,14261,56.0,P56,M,pontine hindbrain,0.0720795
Calb1,calbindin 1,12307,56.0,P56,M,pontine hindbrain,0.937838
Gfap,glial fibrillary acidic protein,14580,56.0,P56,M,pontine hindbrain,2.33057
Gal,galanin,14419,56.0,P56,M,pontine hindbrain,0.253668
Glrb,"glycine receptor, beta subunit",14658,56.0,P56,M,pontine hindbrain,7.60164
Adrb1,"adrenergic receptor, beta 1",11554,56.0,P56,M,pontine hindbrain,0.0218363
Cckar,cholecystokinin A receptor,12425,56.0,P56,M,pontine hindbrain,1.69801
Egfr,epidermal growth factor receptor,13649,56.0,P56,M,pontine hindbrain,0.110734
Bcl11a,B cell CLL/lymphoma 11A (zinc finger protein),14025,56.0,P56,M,pontine hindbrain,2.50025
Cnr1,cannabinoid receptor 1 (brain),12801,56.0,P56,M,pontine hindbrain,2.49144
Asic2,acid-sensing (proton-gated) ion channel 2,11418,56.0,P56,M,pontine hindbrain,2.1907
Fn1,fibronectin 1,14268,56.0,P56,M,pontine hindbrain,0.945665
Ache,acetylcholinesterase,11423,56.0,P56,M,pontine hindbrain,12.117
Gal,galanin,14419,56.0,P56,F,pontine hindbrain,0.246458
Calb1,calbindin 1,12307,56.0,P56,M,pontine hindbrain,2.96338
Gfap,glial fibrillary acidic protein,14580,56.0,P56,M,pontine hindbrain,1.88835
Gal,galanin,14419,56.0,P56,F,pontine hindbrain,0.291662
Grid1,"glutamate receptor, ionotropic, delta 1",14803,56.0,P56,M,pontine hindbrain,1.8802
Calb2,calbindin 2,12308,56.0,P56,M,pontine hindbrain,9.11806
Bcl11a,B cell CLL/lymphoma 11A (zinc finger protein),14025,56.0,P56,M,pontine hindbrain,0.274246
Cnr1,cannabinoid receptor 1 (brain),12801,56.0,P56,M,pontine hindbrain,3.75934
Arc,activity regulated cytoskeletal-associated protein,11838,56.0,P56,M,pontine hindbrain,2.66433
Fos,FBJ osteosarcoma oncogene,14281,56.0,P56,M,pontine hindbrain,3.15553
Adrb1,"adrenergic receptor, beta 1",11554,56.0,P56,M,pontine hindbrain,0.129011
Ednrb,endothelin receptor type B,13618,56.0,P56,F,pontine hindbrain,0.406623
Aanat,arylalkylamine N-acetyltransferase,11298,56.0,P56,M,pontine hindbrain,0.179408
Gfap,glial fibrillary acidic protein,14580,56.0,P56,M,pontine hindbrain,6.83989
Evi5,ecotropic viral integration site 5,14020,56.0,P56,M,pontine hindbrain,0.544984
Cacna1b,"calcium channel, voltage-dependent, N type, alpha 1B subunit",12287,56.0,P56,M,pontine hindbrain,0.527924
Gnrh1,gonadotropin releasing hormone 1,14714,56.0,P56,M,pontine hindbrain,0.0509277
Cnr1,cannabinoid receptor 1 (brain),12801,56.0,P56,M,pontine hindbrain,3.94893
Grik1,"glutamate receptor, ionotropic, kainate 1",14805,56.0,P56,M,pontine hindbrain,0.0
Gal,galanin,14419,56.0,P56,M,pontine hindbrain,0.355492
Fos,FBJ osteosarcoma oncogene,14281,56.0,P56,M,pontine hindbrain,0.125862
Cckbr,cholecystokinin B receptor,12426,56.0,P56,F,pontine hindbrain,0.301544
Gabrb1,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 1",14400,56.0,P56,M,pontine hindbrain,0.20826
Chrm1,"cholinergic receptor, muscarinic 1, CNS",12669,56.0,P56,M,pontine hindbrain,4.43019
Gabrb2,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 2",14401,56.0,P56,M,pontine hindbrain,1.69052
Cnr2,cannabinoid receptor 2 (macrophage),12802,56.0,P56,M,pontine hindbrain,0.299742
Agrp,agouti related protein,11604,56.0,P56,M,pontine hindbrain,0.0458335
Egr1,early growth response 1,13653,56.0,P56,M,pontine hindbrain,1.04009
Etv6,ets variant 6,14011,56.0,P56,M,pontine hindbrain,0.113835
Cntn1,contactin 1,12805,56.0,P56,M,pontine hindbrain,2.2309
Egr2,early growth response 2,13654,56.0,P56,M,pontine hindbrain,1.42339
Fos,FBJ osteosarcoma oncogene,14281,56.0,P56,M,pontine hindbrain,2.15048
Egfr,epidermal growth factor receptor,13649,56.0,P56,M,pontine hindbrain,0.148034
Calb1,calbindin 1,12307,56.0,P56,M,pontine hindbrain,3.0173
Gdnf,glial cell line derived neurotrophic factor,14573,56.0,P56,M,pontine hindbrain,9.57886
Drd3,dopamine receptor D3,13490,56.0,P56,M,pontine hindbrain,0.257617
Chrm1,"cholinergic receptor, muscarinic 1, CNS",12669,56.0,P56,M,pontine hindbrain,3.25166
Egr2,early growth response 2,13654,56.0,P56,M,pontine hindbrain,1.38412
Cdh17,cadherin 17,12557,56.0,P56,M,pontine hindbrain,0.035316
Gfap,glial fibrillary acidic protein,14580,56.0,P56,M,pontine hindbrain,2.85689
Agt,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",11606,56.0,P56,M,pontine hindbrain,0.997277
Calb1,calbindin 1,12307,56.0,P56,M,pontine hindbrain,1.79973
Fos,FBJ osteosarcoma oncogene,14281,56.0,P56,M,pontine hindbrain,0.711875
Cyp19a1,"cytochrome P450, family 19, subfamily a, polypeptide 1",13075,56.0,P56,M,pontine hindbrain,0.0724019
Calb1,calbindin 1,12307,56.0,P56,M,pontine hindbrain,1.15437
Cntn1,contactin 1,12805,56.0,P56,M,pontine hindbrain,1.9109
Cacna2d1,"calcium channel, voltage-dependent, alpha2/delta subunit 1",12293,56.0,P56,M,pontine hindbrain,0.746702
Etv1,ets variant 1,14009,56.0,P56,M,pontine hindbrain,1.83962
Calb2,calbindin 2,12308,56.0,P56,M,pontine hindbrain,9.43766
Etv1,ets variant 1,14009,56.0,P56,M,pontine hindbrain,0.29119
Coch,coagulation factor C homolog (Limulus polyphemus),12810,56.0,P56,M,pontine hindbrain,0.562971
Gfra1,glial cell line derived neurotrophic factor family receptor alpha 1,14585,56.0,P56,M,pontine hindbrain,2.71186
Drd2,dopamine receptor D2,13489,56.0,P56,M,pontine hindbrain,0.385136
Fos,FBJ osteosarcoma oncogene,14281,56.0,P56,M,pontine hindbrain,1.37219
Dach1,dachshund 1 (Drosophila),13134,56.0,P56,M,pontine hindbrain,2.20519
Etv1,ets variant 1,14009,56.0,P56,M,pontine hindbrain,0.246692
Chrm1,"cholinergic receptor, muscarinic 1, CNS",12669,56.0,P56,M,pontine hindbrain,1.28193
Gal,galanin,14419,56.0,P56,F,pontine hindbrain,0.116494
Bcat1,"branched chain aminotransferase 1, cytosolic",12035,56.0,P56,M,pontine hindbrain,11.609
Calb1,calbindin 1,12307,56.0,P56,M,pontine hindbrain,1.02774
Cacna2d1,"calcium channel, voltage-dependent, alpha2/delta subunit 1",12293,56.0,P56,M,pontine hindbrain,0.857515
Etv1,ets variant 1,14009,56.0,P56,M,pontine hindbrain,0.318467
Chrna4,"cholinergic receptor, nicotinic, alpha polypeptide 4",11438,56.0,P56,M,pontine hindbrain,2.13216
Gal,galanin,14419,56.0,P56,F,pontine hindbrain,0.199349
Fos,FBJ osteosarcoma oncogene,14281,56.0,P56,M,pontine hindbrain,2.37659
Egr2,early growth response 2,13654,56.0,P56,M,pontine hindbrain,0.963926
Etv1,ets variant 1,14009,56.0,P56,M,pontine hindbrain,0.079918
Col11a1,"collagen, type XI, alpha 1",12814,56.0,P56,M,pontine hindbrain,2.66321
Egfr,epidermal growth factor receptor,13649,56.0,P56,M,pontine hindbrain,0.136874
Chrm1,"cholinergic receptor, muscarinic 1, CNS",12669,56.0,P56,M,pontine hindbrain,2.36748
Gabrb1,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 1",14400,56.0,P56,M,pontine hindbrain,0.196971
Rnd2,Rho family GTPase 2,11858,56.0,P56,M,pontine hindbrain,3.67667
Etv1,ets variant 1,14009,56.0,P56,M,pontine hindbrain,0.0870272
Col12a1,"collagen, type XII, alpha 1",12816,56.0,P56,M,pontine hindbrain,1.04832
