gene_acronym,gene_name,gene_entrez_id,age_in_days,age,donor_sex,structure_name,expression_energy
Sema5a,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A",20356,56.0,P56,M,prosomere 3,2.04318e-05
Sema4d,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D",20354,56.0,P56,M,prosomere 3,0.16781
Sema4d,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D",20354,56.0,P56,M,prosomere 3,0.188409
Sema4a,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A",20351,56.0,P56,M,prosomere 3,0.0171861
Sema4a,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A",20351,56.0,P56,M,prosomere 3,0.0914139
Sema3f,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F",20350,56.0,P56,M,prosomere 3,0.414032
Sema3e,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E",20349,56.0,P56,M,prosomere 3,1.53761
Sema3c,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C",20348,56.0,P56,M,prosomere 3,0.825188
Sema3c,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C",20348,56.0,P56,M,prosomere 3,0.0207557
Sema3a,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A",20346,56.0,P56,M,prosomere 3,0.157136
Ikzf1,IKAROS family zinc finger 1,22778,56.0,P56,M,prosomere 3,0.102048
Ikzf1,IKAROS family zinc finger 1,22778,56.0,P56,M,prosomere 3,0.172437
Pappa2,pappalysin 2,23850,56.0,P56,M,prosomere 3,0.413136
Ptprz1,"protein tyrosine phosphatase, receptor type Z, polypeptide 1",19283,56.0,P56,M,prosomere 3,1.17229
Ets1,"E26 avian leukemia oncogene 1, 5' domain",23871,56.0,P56,M,prosomere 3,0.792766
Ets2,"E26 avian leukemia oncogene 2, 3' domain",23872,56.0,P56,M,prosomere 3,0.563895
Insrr,insulin receptor-related receptor,23920,56.0,P56,M,prosomere 3,0.0860933
Sema3a,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A",20346,56.0,P56,M,prosomere 3,0.048841
Sema3a,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A",20346,56.0,P56,M,prosomere 3,0.105605
Selplg,"selectin, platelet (p-selectin) ligand",20345,56.0,P56,M,prosomere 3,1.70329
Nrgn,neurogranin,64011,56.0,P56,M,prosomere 3,6.38137
Ly6h,"lymphocyte antigen 6 complex, locus H",23934,56.0,P56,M,prosomere 3,4.8286
Nr2e3,"nuclear receptor subfamily 2, group E, member 3",23958,56.0,P56,M,prosomere 3,0.226258
Nr2e3,"nuclear receptor subfamily 2, group E, member 3",23958,56.0,P56,M,prosomere 3,0.145389
Tenm3,teneurin transmembrane protein 3,23965,56.0,P56,M,prosomere 3,0.46997
Tenm3,teneurin transmembrane protein 3,23965,56.0,P56,M,prosomere 3,0.0395627
Tenm3,teneurin transmembrane protein 3,23965,56.0,P56,M,prosomere 3,0.0689503
Pde10a,phosphodiesterase 10A,23984,56.0,P56,M,prosomere 3,0.58481
Tiam2,T cell lymphoma invasion and metastasis 2,24001,56.0,P56,M,prosomere 3,1.41828
Sel1l,sel-1 suppressor of lin-12-like (C. elegans),20338,56.0,P56,M,prosomere 3,1.66434
Sgcd,"sarcoglycan, delta (dystrophin-associated glycoprotein)",24052,56.0,P56,M,prosomere 3,0.4819
Wif1,Wnt inhibitory factor 1,24117,56.0,P56,M,prosomere 3,0.0499732
Wif1,Wnt inhibitory factor 1,24117,56.0,P56,M,prosomere 3,0.0354907
Nrgn,neurogranin,64011,56.0,P56,M,prosomere 3,5.37781
Wif1,Wnt inhibitory factor 1,24117,56.0,P56,M,prosomere 3,0.068157
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,2.79608
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,3.19038
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,2.27003
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,4.09612
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,5.41408
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,4.8608
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,5.46
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,5.15291
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,6.47434
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,6.6206
Nrgn,neurogranin,64011,56.0,P56,M,prosomere 3,4.20551
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,5.47639
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,4.72527
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,5.15425
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,6.31555
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,5.33707
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,5.09036
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,4.76939
