ensembl_gene_id,gene_symbol,druggability_tier,small_mol_druggable,bio_druggable,adme_gene
ENSG00000101162,TUBB1,Tier 1,Y,Y,N
ENSG00000101180,HRH3,Tier 1,Y,Y,N
ENSG00000101187,SLCO4A1,Tier 1,N,N,Y
ENSG00000101188,NTSR1,Tier 1,Y,Y,N
ENSG00000101204,CHRNA4,Tier 1,Y,N,N
ENSG00000101213,PTK6,Tier 1,Y,N,N
ENSG00000101266,CSNK2A1,Tier 1,Y,N,N
ENSG00000101306,MYLK2,Tier 1,Y,N,N
ENSG00000101336,HCK,Tier 1,Y,N,N
ENSG00000101349,PAK7,Tier 1,Y,N,N
ENSG00000101680,LAMA1,Tier 1,N,Y,N
ENSG00000101782,RIOK3,Tier 1,Y,N,N
ENSG00000101846,STS,Tier 1,Y,Y,N
ENSG00000101868,POLA1,Tier 1,Y,N,N
ENSG00000101966,XIAP,Tier 1,Y,N,N
ENSG00000102001,CACNA1F,Tier 1,Y,N,N
ENSG00000102010,BMX,Tier 1,Y,N,N
ENSG00000102096,PIM2,Tier 1,Y,N,N
ENSG00000102225,CDK16,Tier 1,Y,N,N
ENSG00000102245,CD40LG,Tier 1,N,Y,N
ENSG00000102312,PORCN,Tier 1,Y,N,N
ENSG00000102393,GLA,Tier 1,Y,Y,N
ENSG00000102468,HTR2A,Tier 1,Y,Y,N
ENSG00000102524,TNFSF13B,Tier 1,N,Y,N
ENSG00000102539,MLNR,Tier 1,Y,Y,N
ENSG00000102572,STK24,Tier 1,Y,N,N
ENSG00000102755,FLT1,Tier 1,Y,Y,N
ENSG00000102796,DHRS12,Tier 1,N,N,Y
ENSG00000102854,MSLN,Tier 1,N,Y,N
ENSG00000102882,MAPK3,Tier 1,Y,N,N
ENSG00000102967,DHODH,Tier 1,Y,N,N
ENSG00000102996,MMP15,Tier 1,Y,N,N
ENSG00000103222,ABCC1,Tier 1,Y,Y,Y
ENSG00000103257,SLC7A5,Tier 1,N,N,Y
ENSG00000103546,SLC6A2,Tier 1,Y,N,N
ENSG00000103642,LACTB,Tier 1,Y,N,N
ENSG00000103653,CSK,Tier 1,Y,N,N
ENSG00000103855,CD276,Tier 1,N,Y,N
ENSG00000104205,SGK3,Tier 1,Y,N,N
ENSG00000104267,CA2,Tier 1,Y,N,N
ENSG00000104312,RIPK2,Tier 1,Y,N,N
ENSG00000104321,TRPA1,Tier 1,Y,N,N
ENSG00000104365,IKBKB,Tier 1,Y,N,N
ENSG00000104368,PLAT,Tier 1,Y,Y,N
ENSG00000104375,STK3,Tier 1,Y,N,N
ENSG00000104549,SQLE,Tier 1,Y,N,N
ENSG00000104687,GSR,Tier 1,Y,N,Y
ENSG00000104689,TNFRSF10A,Tier 1,N,Y,N
ENSG00000104774,MAN2B1,Tier 1,Y,Y,N
ENSG00000104783,KCNN4,Tier 1,Y,N,N
ENSG00000104814,MAP4K1,Tier 1,Y,N,N
ENSG00000104833,TUBB4A,Tier 1,Y,Y,N
ENSG00000104894,CD37,Tier 1,N,Y,N
ENSG00000104921,FCER2,Tier 1,Y,Y,N
ENSG00000104936,DMPK,Tier 1,Y,N,N
ENSG00000105146,AURKC,Tier 1,Y,N,N
ENSG00000105173,CCNE1,Tier 1,Y,N,N
ENSG00000105204,DYRK1B,Tier 1,Y,N,N
ENSG00000105221,AKT2,Tier 1,Y,N,N
ENSG00000105287,PRKD2,Tier 1,Y,N,N
ENSG00000105329,TGFB1,Tier 1,Y,Y,N
ENSG00000105383,CD33,Tier 1,N,Y,N
ENSG00000105388,CEACAM5,Tier 1,N,Y,N
ENSG00000105397,TYK2,Tier 1,Y,N,N
ENSG00000105398,SULT2A1,Tier 1,N,N,Y
ENSG00000105409,ATP1A3,Tier 1,Y,N,N
ENSG00000105464,GRIN2D,Tier 1,Y,N,N
ENSG00000105613,MAST1,Tier 1,Y,N,N
ENSG00000105639,JAK3,Tier 1,Y,N,N
ENSG00000105650,PDE4C,Tier 1,Y,N,N
ENSG00000105675,ATP4A,Tier 1,Y,N,N
ENSG00000105695,MAG,Tier 1,N,Y,N
ENSG00000105697,HAMP,Tier 1,N,Y,N
ENSG00000105723,GSK3A,Tier 1,Y,N,N
ENSG00000105737,GRIK5,Tier 1,Y,N,N
ENSG00000105810,CDK6,Tier 1,Y,N,N
ENSG00000105851,PIK3CG,Tier 1,Y,N,N
ENSG00000105852,PON3,Tier 1,N,Y,Y
ENSG00000105854,PON2,Tier 1,N,Y,Y
ENSG00000105976,MET,Tier 1,Y,Y,N
ENSG00000106123,EPHB6,Tier 1,Y,Y,N
ENSG00000106128,GHRHR,Tier 1,Y,Y,N
ENSG00000106211,HSPB1,Tier 1,Y,N,N
ENSG00000106258,CYP3A5,Tier 1,Y,N,Y
ENSG00000106348,IMPDH1,Tier 1,Y,N,N
ENSG00000106546,AHR,Tier 1,Y,N,Y
ENSG00000106688,SLC1A1,Tier 1,Y,N,N
ENSG00000106799,TGFBR1,Tier 1,Y,Y,N
ENSG00000106804,C5,Tier 1,N,Y,N
ENSG00000106991,ENG,Tier 1,N,Y,N
ENSG00000107140,TESK1,Tier 1,Y,N,N
ENSG00000107159,CA9,Tier 1,Y,Y,N
ENSG00000107165,TYRP1,Tier 1,Y,Y,N
ENSG00000107643,MAPK8,Tier 1,Y,N,N
ENSG00000107854,TNKS2,Tier 1,Y,N,N
ENSG00000107984,DKK1,Tier 1,Y,Y,N
